99
Question	KeyTyped	KeyTypedValue	PressEvent(ms)	ReleaseEvent(ms)	HoldTime(ms)	CursorLocation	TextLength	CharactersUpdated
Q5Timer	?	16	1556606086658	1556606086846	188	0	0	0
Q5Timer	N	78	1556606086783	1556606086846	63	0	0	0
Q5Timer	o	79	1556606087815	1556606087877	62	1	1	1
Q5Timer	t	84	1556606088049	1556606088127	78	2	2	1
Q5Timer	 	32	1556606088174	1556606088283	109	3	3	1
Q5Timer	a	65	1556606088237	1556606088283	46	4	4	1
Q5Timer	p	80	1556606088549	1556606088612	63	5	5	1
Q5Timer	p	80	1556606088690	1556606088737	47	6	6	1
Q5Timer	l	76	1556606088940	1556606089018	78	7	7	1
Q5Timer	i	73	1556606089159	1556606089252	93	8	8	1
Q5Timer	c	67	1556606089284	1556606089362	78	9	9	1
Q5Timer	a	65	1556606089487	1556606089596	109	10	10	1
Q5Timer	b	66	1556606090299	1556606090362	63	11	11	1
Q5Timer	l	76	1556606090502	1556606090612	110	12	12	1
Q5Timer	e	69	1556606090565	1556606090612	47	13	13	1
Q5Timer	 	32	1556606090659	1556606090753	94	14	14	1
Q5Timer	t	84	1556606090799	1556606090909	110	15	15	1
Q5Timer	o	79	1556606090878	1556606090909	31	16	16	1
Q5Timer	 	32	1556606090987	1556606091065	78	17	17	1
Q5Timer	m	77	1556606091159	1556606091237	78	18	18	1
Q5Timer	e	69	1556606091190	1556606091237	47	19	19	1
Q5Timer	,	44	1556606091409	1556606091518	109	20	20	1
Q5Timer	 	32	1556606091549	1556606091659	110	21	21	1
Q5Timer	?	16	1556606091987	1556606092175	188	22	22	1
Q5Timer	I	73	1556606092112	1556606092175	63	22	22	0
Q5Timer	 	32	1556606092206	1556606092253	47	23	23	1
Q5Timer	b	66	1556606092596	1556606092690	94	24	24	1
Q5Timer	e	69	1556606092690	1556606092768	78	25	25	1
Q5Timer	i	73	1556606092846	1556606092909	63	26	26	1
Q5Timer	n	78	1556606093034	1556606093112	78	27	27	1
Q5Timer	g	71	1556606093081	1556606093112	31	28	28	1
Q5Timer	 	32	1556606093159	1556606093268	109	29	29	1
Q5Timer	a	65	1556606093424	1556606093518	94	30	30	1
Q5Timer	 	32	1556606093503	1556606093518	15	31	31	1
Q5Timer	?	16	1556606093675	1556606093847	172	32	32	1
Q5Timer	P	80	1556606093768	1556606093847	79	32	32	0
Q5Timer	h	72	1556606094315	1556606094362	47	33	33	1
Q5Timer	?	16	1556606094378	1556606094581	203	34	34	1
Q5Timer	D	68	1556606094503	1556606094581	78	34	34	0
Q5Timer	 	32	1556606094643	1556606094768	125	35	35	1
Q5Timer	s	83	1556606094815	1556606094925	110	36	36	1
Q5Timer	t	84	1556606095050	1556606095096	46	37	37	1
Q5Timer	u	85	1556606095268	1556606095300	32	38	38	1
Q5Timer	d	68	1556606095331	1556606095393	62	39	39	1
Q5Timer	e	69	1556606095518	1556606095597	79	40	40	1
Q5Timer	n	78	1556606095628	1556606095690	62	41	41	1
Q5Timer	t	84	1556606095862	1556606095940	78	42	42	1
Q5Timer	 	32	1556606095987	1556606096081	94	43	43	1
Q5Timer	h	72	1556606096253	1556606096331	78	44	44	1
Q5Timer	a	65	1556606096362	1556606096456	94	45	45	1
Q5Timer	v	86	1556606096534	1556606096628	94	46	46	1
Q5Timer	e	69	1556606096659	1556606096722	63	47	47	1
Q5Timer	n	78	1556606096862	1556606096909	47	48	48	1
Q5Timer	'	222	1556606098019	1556606098081	62	49	49	1
Q5Timer	?	16	1556606102832	1556606103097	265	0	50	1
Q5Timer	T	84	1556606103035	1556606103097	62	0	50	0
Q5Timer	h	72	1556606103253	1556606103316	63	1	1	-49
Q5Timer	e	69	1556606103285	1556606103316	31	2	2	1
Q5Timer	 	32	1556606103363	1556606103378	15	3	3	1
Q5Timer	o	79	1556606103519	1556606103597	78	4	4	1
Q5Timer	n	78	1556606103769	1556606103816	47	5	5	1
Q5Timer	l	76	1556606103957	1556606104035	78	6	6	1
Q5Timer	y	89	1556606104191	1556606104269	78	7	7	1
Q5Timer	 	32	1556606104316	1556606104441	125	8	8	1
Q5Timer	c	67	1556606104441	1556606104519	78	9	9	1
Q5Timer	l	76	1556606104566	1556606104660	94	10	10	1
Q5Timer	a	65	1556606104707	1556606104801	94	11	11	1
Q5Timer	s	83	1556606104926	1556606104957	31	12	12	1
Q5Timer	s	83	1556606105051	1556606105129	78	13	13	1
Q5Timer	 	32	1556606105160	1556606105238	78	14	14	1
Q5Timer	i	73	1556606105301	1556606105394	93	15	15	1
Q5Timer	 	32	1556606105472	1556606105550	78	16	16	1
Q5Timer	a	65	1556606105597	1556606105722	125	17	17	1
Q5Timer	 	32	1556606105832	1556606105941	109	18	18	1
Q5Timer		8	1556606106347	1556606106410	63	19	19	1
Q5Timer	m	77	1556606106566	1556606106691	125	18	18	-1
Q5Timer	 	32	1556606106723	1556606106816	93	19	19	1
Q5Timer	e	69	1556606107504	1556606107582	78	20	20	1
Q5Timer	n	78	1556606107613	1556606107691	78	21	21	1
Q5Timer	r	82	1556606107770	1556606107832	62	22	22	1
Q5Timer	o	79	1556606107895	1556606107973	78	23	23	1
Q5Timer	l	76	1556606108113	1556606108160	47	24	24	1
Q5Timer	l	76	1556606108238	1556606108316	78	25	25	1
Q5Timer	e	69	1556606108316	1556606108395	79	26	26	1
Q5Timer	d	68	1556606108473	1556606108566	93	27	27	1
Q5Timer	 	32	1556606108598	1556606108707	109	28	28	1
Q5Timer	f	70	1556606108723	1556606108801	78	29	29	1
Q5Timer	o	79	1556606108848	1556606108910	62	30	30	1
Q5Timer	r	82	1556606108941	1556606109035	94	31	31	1
