99
Question	KeyTyped	KeyTypedValue	PressEvent(ms)	ReleaseEvent(ms)	HoldTime(ms)	CursorLocation	TextLength	CharactersUpdated
Q9	?	16	1556602362257	1556602362382	125	0	0	0
Q9	T	84	1556602362336	1556602362382	46	0	0	0
Q9	w	87	1556602362820	1556602362882	62	1	1	1
Q9	e	69	1556602363023	1556602363101	78	2	2	1
Q9	n	78	1556602363195	1556602363257	62	3	3	1
Q9	t	84	1556602363461	1556602363507	46	4	4	1
Q9	y	89	1556602363648	1556602363695	47	5	5	1
Q9	 	32	1556602363757	1556602363851	94	6	6	1
Q9	f	70	1556602363945	1556602364007	62	7	7	1
Q9	i	73	1556602364117	1556602364179	62	8	8	1
Q9	v	86	1556602365211	1556602365289	78	9	9	1
Q9	e	69	1556602365305	1556602365383	78	10	10	1
Q9	 	32	1556602365367	1556602365383	16	11	11	1
Q9		8	1556602365945	1556602366039	94	12	12	1
Q9		8	1556602366133	1556602366195	62	11	11	-1
Q9		8	1556602366398	1556602366476	78	10	10	-1
Q9		8	1556602366586	1556602366680	94	9	9	-1
Q9		8	1556602366836	1556602366898	62	8	8	-1
Q9		8	1556602367445	1556602367539	94	7	7	-1
Q9	-	45	1556602367680	1556602367727	47	6	6	-1
Q9	f	70	1556602368055	1556602368133	78	7	7	1
Q9	i	73	1556602368242	1556602368305	63	8	8	1
Q9	v	86	1556602368492	1556602368555	63	9	9	1
Q9	e	69	1556602368555	1556602368555	0	10	10	1
Q9	 	32	1556602368633	1556602368727	94	11	11	1
Q9	u	85	1556602368805	1556602368883	78	12	12	1
Q9	n	78	1556602369039	1556602369086	47	13	13	1
Q9	i	73	1556602369211	1556602369289	78	14	14	1
Q9	v	86	1556602369430	1556602369508	78	15	15	1
Q9	e	69	1556602369539	1556602369602	63	16	16	1
Q9	r	82	1556602369695	1556602369758	63	17	17	1
Q9	s	83	1556602369914	1556602370024	110	18	18	1
Q9	i	73	1556602370055	1556602370102	47	19	19	1
Q9	t	84	1556602370289	1556602370336	47	20	20	1
Q9	i	73	1556602370508	1556602370602	94	21	21	1
Q9	e	69	1556602370633	1556602370711	78	22	22	1
