Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q6	297	111	1554788863009	1554788862946	1554788863009
Q6	111	106	1554788864071	1554788864009	1554788864071
Q6	106	297	1554788865290	1554788865212	1554788865290
Q6	299	272	1554788970828	1554788970766	1554788970828
Q6	272	297	1554788973157	1554788973094	1554788973157
Q6	388	366	1554789048497	1554789048403	1554789048497
Q6	367	389	1554789049450	1554789049372	1554789049450
Q6	669	443	1554790285394	1554790284581	1554790284628
Q6	443	435	1554790285878	1554790285331	1554790285394
Q6	435	432	1554790286034	1554790285784	1554790285878
Q6	432	432	1554790286550	1554790285956	1554790286034
Q6	435	435	1554790286706	1554790286472	1554790286550
Q6	435	432	1554790289879	1554790286628	1554790286706
