Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q6	0	0	1556602887152	1556602887074	1556602887152
Q6	1636	1636	1556603359039	1556603358929	1556603359039
Q6	0	3	1556603431125	1556603430985	1556603431125
Q6	0	1997	1556603434470	1556603434399	1556603434470
Q6	0	1645	1556604375399	1556603445263	1556603446994
Q6	1645	1643	1556604376477	1556603447666	1556603447760
Q6	1643	5	1556604376946	1556603451604	1556603451760
Q6	5	0	1556604377274	1556603452073	1556603453729
Q6	0	1986	1556604377571	1556603458538	1556603459601
Q6	1967	1766	1556604724213	1556604375352	1556604375399
Q6	1766	1767	1556604726620	1556604376383	1556604376477
