Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q7	0	0	1556603448119	1556603357742	1556603357851
Q7	0	0	1556603448526	1556603448026	1556603448119
Q7	0	0	1556603474306	1556603448432	1556603448526
Q7	0	0	1556604369648	1556603474227	1556603474306
Q7	847	845	1556604378165	1556604369586	1556604369648
Q7	845	845	1556604629733	1556604378102	1556604378165
Q7	0	1993	1556604637333	1556604629646	1556604629733
Q7	0	3	1556604639924	1556604637166	1556604637333
Q7	0	1997	1556604660453	1556604639773	1556604639924
Q7	1977	727	1556604661187	1556604660359	1556604660453
Q7	727	1974	1556604663906	1556604661093	1556604661171
Q7	1974	352	1556604665562	1556604663781	1556604663906
Q7	358	354	1556604671563	1556604665453	1556604665562
Q7	348	0	1556604676454	1556604671454	1556604671563
Q7	351	1976	1556604688179	1556604676376	1556604676454
Q7	0	4	1556604718260	1556604688101	1556604688179
Q7	0	1987	1556604748808	1556604692666	1556604694513
Q7	1999	1973	1556604750996	1556604718119	1556604718260
Q7	1974	1974	1556604761278	1556604746481	1556604746544
Q7	1974	1999	1556604763950	1556604748730	1556604748808
Q7	1999	351	1556604776811	1556604750918	1556604750996
Q7	350	77	1556604789562	1556604759606	1556604760810
Q7	77	77	1556604810788	1556604761153	1556604761278
Q7	80	0	1556604839385	1556604761638	1556604763497
