Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q7	0	0	1556603430536	1556603430489	1556603430536
Q7	735	0	1556603808813	1556603808766	1556603431004
Q7	400	398	1556603813360	1556603813314	1556603808813
Q7	224	222	1556603817126	1556603817017	1556603813360
Q7	624	622	1556603820892	1556603820799	1556603817126
Q7	127	127	1556603822330	1556603822252	1556603820892
Q7	131	129	1556603831019	1556603825049	1556603822330
Q7	138	137	1556604614302	1556603830925	1556603826487
Q7	333	328	1556604615286	1556604603940	1556603831019
Q7	78	78	1556604618818	1556604607222	1556604606144
Q7	166	166	1556604619818	1556604611270	1556604609551
Q7	238	238	1556604621224	1556604614208	1556604613958
Q7	328	328	1556604623240	1556604615192	1556604614302
Q7	315	314	1556604624912	1556604618724	1556604615286
Q7	298	298	1556604656984	1556604619740	1556604618818
