96
Question	KeyTyped	KeyTypedValue	PressEvent(ms)	ReleaseEvent(ms)	HoldTime(ms)	CursorLocation	TextLength	CharactersUpdated
Q7	?	16	1556603419514	1556603419874	360	0	0	0
Q7	W	87	1556603419764	1556603419874	110	0	0	0
Q7	h	72	1556603419968	1556603420030	62	1	1	1
Q7	e	69	1556603420139	1556603420233	94	2	2	1
Q7	n	78	1556603420249	1556603420374	125	3	3	1
Q7	 	32	1556603420374	1556603420499	125	4	4	1
Q7	t	84	1556603420671	1556603420780	109	5	5	1
Q7	h	72	1556603420812	1556603420890	78	6	6	1
Q7	e	69	1556603420952	1556603421046	94	7	7	1
Q7	y	89	1556603421077	1556603421202	125	8	8	1
Q7	 	32	1556603421218	1556603421327	109	9	9	1
Q7		8	1556603421890	1556603421952	62	10	10	1
Q7		8	1556603422015	1556603422108	93	9	9	-1
Q7		8	1556603422202	1556603422249	47	8	8	-1
Q7		8	1556603422343	1556603422390	47	7	7	-1
Q7		8	1556603422499	1556603422609	110	6	6	-1
Q7	t	84	1556603422999	1556603423062	63	5	5	-1
Q7		8	1556603423421	1556603423499	78	6	6	1
Q7	s	83	1556603423593	1556603423702	109	5	5	-1
Q7	t	84	1556603423812	1556603423859	47	6	6	1
Q7	u	85	1556603423968	1556603424046	78	7	7	1
Q7	d	68	1556603424062	1556603424202	140	8	8	1
Q7	e	69	1556603424171	1556603424202	31	9	9	1
Q7	n	78	1556603424280	1556603424405	125	10	10	1
Q7	t	84	1556603424468	1556603424578	110	11	11	1
Q7	 	32	1556603424953	1556603425093	140	12	12	1
Q7		8	1556603425531	1556603425609	78	13	13	1
Q7	s	83	1556603425687	1556603425812	125	12	12	-1
Q7	 	32	1556603425812	1556603425812	0	13	13	1
Q7	w	87	1556603426031	1556603426156	125	14	14	1
Q7		8	1556603426312	1556603426406	94	15	15	1
Q7	f	70	1556603426515	1556603426656	141	14	14	-1
Q7	e	69	1556603426609	1556603426656	47	15	15	1
Q7	e	69	1556603426812	1556603426937	125	16	16	1
Q7	l	76	1556603426984	1556603427093	109	17	17	1
Q7	 	32	1556603427218	1556603427297	79	18	18	1
Q7	t	84	1556603429937	1556603430078	141	19	19	1
Q7	o	79	1556603430203	1556603430312	109	20	20	1
Q7	o	79	1556603430328	1556603430422	94	21	21	1
Q7	o	79	1556603430516	1556603430609	93	22	22	1
Q7		8	1556603431187	1556603431250	63	23	23	1
Q7	 	32	1556603431406	1556603431516	110	22	22	-1
Q7	s	83	1556603431610	1556603431781	171	23	23	1
Q7	t	84	1556603432031	1556603432125	94	24	24	1
Q7	r	82	1556603432266	1556603432406	140	25	25	1
Q7	e	69	1556603432344	1556603432406	62	26	26	1
Q7	e	69	1556603432594	1556603432703	109	27	27	1
Q7		8	1556603432891	1556603432985	94	28	28	1
Q7	s	83	1556603433063	1556603433110	47	27	27	-1
Q7	s	83	1556603433219	1556603433328	109	28	28	1
Q7	f	70	1556603433907	1556603434000	93	29	29	1
Q7	u	85	1556603434032	1556603434078	46	30	30	1
Q7	l	76	1556603434235	1556603434297	62	31	31	1
Q7	 	32	1556603434798	1556603434907	109	32	32	1
Q7	a	65	1556603434954	1556603435079	125	33	33	1
Q7	n	78	1556603435063	1556603435079	16	34	34	1
Q7	d	68	1556603435235	1556603435329	94	35	35	1
Q7	 	32	1556603435376	1556603435454	78	36	36	1
Q7	d	68	1556603436235	1556603436297	62	37	37	1
Q7	e	69	1556603436376	1556603436454	78	38	38	1
Q7	p	80	1556603436548	1556603436626	78	39	39	1
Q7	r	82	1556603436673	1556603436813	140	40	40	1
Q7	e	69	1556603436782	1556603436813	31	41	41	1
Q7	s	83	1556603437016	1556603437110	94	42	42	1
Q7	s	83	1556603437204	1556603437329	125	43	43	1
Q7	e	69	1556603437407	1556603437516	109	44	44	1
Q7	d	68	1556603437641	1556603437813	172	45	45	1
Q7	,	44	1556603438313	1556603438360	47	46	46	1
Q7	 	32	1556603438532	1556603438595	63	47	47	1
Q7	t	84	1556603438704	1556603438798	94	48	48	1
Q7	h	72	1556603438845	1556603438892	47	49	49	1
Q7	e	69	1556603438954	1556603439064	110	50	50	1
Q7	 	32	1556603439095	1556603439189	94	51	51	1
Q7		8	1556603439720	1556603439798	78	52	52	1
Q7	y	89	1556603440017	1556603440064	47	51	51	-1
Q7	 	32	1556603440126	1556603440251	125	52	52	1
Q7	s	83	1556603440314	1556603440407	93	53	53	1
Q7	o	79	1556603440564	1556603440673	109	54	54	1
Q7	u	85	1556603440642	1556603440673	31	55	55	1
Q7	l	76	1556603440782	1556603440876	94	56	56	1
Q7	d	68	1556603440923	1556603441048	125	57	57	1
Q7	 	32	1556603441079	1556603441142	63	58	58	1
Q7		8	1556603441658	1556603441705	47	59	59	1
Q7		8	1556603441783	1556603441861	78	58	58	-1
Q7		8	1556603441939	1556603441986	47	57	57	-1
Q7		8	1556603442079	1556603442142	63	56	56	-1
Q7		8	1556603442267	1556603442361	94	55	55	-1
Q7	h	72	1556603442533	1556603442611	78	54	54	-1
Q7	o	79	1556603442705	1556603442845	140	55	55	1
Q7	u	85	1556603442814	1556603442845	31	56	56	1
Q7	d	68	1556603442970	1556603443080	110	57	57	1
Q7	l	76	1556603443033	1556603443080	47	58	58	1
Q7		8	1556603443580	1556603443658	78	59	59	1
Q7		8	1556603443736	1556603443783	47	58	58	-1
Q7	l	76	1556603443939	1556603444064	125	57	57	-1
Q7	d	68	1556603444220	1556603444314	94	58	58	1
Q7	 	32	1556603444392	1556603444439	47	59	59	1
Q7	t	84	1556603444939	1556603445064	125	60	60	1
Q7	r	82	1556603445174	1556603445267	93	61	61	1
Q7	y	89	1556603445267	1556603445392	125	62	62	1
Q7	 	32	1556603445361	1556603445392	31	63	63	1
Q7	t	84	1556603445533	1556603445658	125	64	64	1
Q7	o	79	1556603445689	1556603445814	125	65	65	1
Q7	 	32	1556603445814	1556603445939	125	66	66	1
Q7	g	71	1556603447002	1556603447064	62	67	67	1
Q7	o	79	1556603447174	1556603447346	172	68	68	1
Q7	 	32	1556603447299	1556603447346	47	69	69	1
Q7	o	79	1556603447721	1556603447877	156	70	70	1
Q7	u	85	1556603447830	1556603447877	47	71	71	1
Q7	t	84	1556603448002	1556603448065	63	72	72	1
Q7	d	68	1556603448408	1556603448518	110	73	73	1
Q7	o	79	1556603448580	1556603448627	47	74	74	1
Q7	o	79	1556603448705	1556603448783	78	75	75	1
Q7	r	82	1556603448783	1556603448893	110	76	76	1
Q7	 	32	1556603448924	1556603449018	94	77	77	1
Q7	a	65	1556603449362	1556603449487	125	78	78	1
Q7	n	78	1556603449487	1556603449549	62	79	79	1
Q7	d	68	1556603449596	1556603449721	125	80	80	1
Q7	 	32	1556603449721	1556603449784	63	81	81	1
Q7	s	83	1556603449862	1556603450049	187	82	82	1
Q7	e	69	1556603450002	1556603450049	47	83	83	1
Q7	e	69	1556603450221	1556603450362	141	84	84	1
Q7	 	32	1556603450815	1556603450909	94	85	85	1
Q7	w	87	1556603450956	1556603451050	94	86	86	1
Q7	h	72	1556603451050	1556603451128	78	87	87	1
Q7	e	69	1556603451190	1556603451237	47	88	88	1
Q7	t	84	1556603451471	1556603451565	94	89	89	1
Q7	h	72	1556603451581	1556603451690	109	90	90	1
Q7	e	69	1556603451690	1556603451893	203	91	91	1
Q7	r	82	1556603451831	1556603451893	62	92	92	1
Q7	 	32	1556603452034	1556603452159	125	93	93	1
Q7	a	65	1556603452331	1556603452456	125	94	94	1
Q7	 	32	1556603452878	1556603452940	62	95	95	1
Q7	w	87	1556603453018	1556603453268	250	96	96	1
Q7	a	65	1556603453222	1556603453268	46	97	97	1
Q7	l	76	1556603453362	1556603453393	31	98	98	1
Q7		8	1556603453706	1556603453784	78	99	99	1
Q7		8	1556603453894	1556603453941	47	98	98	-1
Q7	a	65	1556603454394	1556603454534	140	97	97	-1
Q7	l	76	1556603454675	1556603454800	125	98	98	1
Q7	k	75	1556603454753	1556603454800	47	99	99	1
Q7	 	32	1556603454941	1556603455050	109	100	100	1
Q7	i	73	1556603455269	1556603455378	109	101	101	1
Q7		8	1556603456097	1556603456159	62	102	102	1
Q7		8	1556603456269	1556603456300	31	101	101	-1
Q7		8	1556603456394	1556603456566	172	100	100	-1
Q7		8	1556603456659	1556603456706	47	99	99	-1
Q7		8	1556603456800	1556603456847	47	98	98	-1
Q7		8	1556603456941	1556603456988	47	97	97	-1
Q7		8	1556603457097	1556603457222	125	96	96	-1
Q7	n	78	1556603457394	1556603457488	94	95	95	-1
Q7	 	32	1556603457519	1556603457613	94	96	96	1
Q7	o	79	1556603457691	1556603457847	156	97	97	1
Q7	u	85	1556603457785	1556603457847	62	98	98	1
Q7	t	84	1556603457925	1556603457988	63	99	99	1
Q7	o	79	1556603458394	1556603458410	16	100	100	1
Q7	f	70	1556603458535	1556603458566	31	101	101	1
Q7		8	1556603458691	1556603458769	78	102	102	1
Q7		8	1556603458863	1556603458972	109	101	101	-1
Q7	d	68	1556603459613	1556603459753	140	100	100	-1
Q7	o	79	1556603459753	1556603459816	63	101	101	1
Q7	o	79	1556603459878	1556603459988	110	102	102	1
Q7	r	82	1556603460019	1556603460128	109	103	103	1
Q7	 	32	1556603460363	1556603460441	78	104	104	1
Q7	w	87	1556603461707	1556603461941	234	105	105	1
Q7	a	65	1556603461879	1556603461941	62	106	106	1
Q7	l	76	1556603461988	1556603462082	94	107	107	1
Q7	k	75	1556603462098	1556603462160	62	108	108	1
Q7	 	32	1556603463566	1556603463676	110	109	109	1
Q7	a	65	1556603463754	1556603463895	141	110	110	1
Q7	n	78	1556603463879	1556603463895	16	111	111	1
Q7	d	68	1556603464004	1556603464082	78	112	112	1
