Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q7	0	0	1556603014133	1556603014039	1556603014133
Q7	142	64	1556604417239	1556603107065	1556603108065
Q7	173	115	1556604422943	1556603153392	1556603154064
Q7	150	115	1556604423193	1556603165316	1556603165722
Q7	370	267	1556604423833	1556603238135	1556603238557
Q7	267	290	1556604424005	1556603238776	1556603238870
Q7	290	296	1556604424802	1556603239792	1556603241026
Q7	344	151	1556604430615	1556604409222	1556604410113
Q7	155	194	1556604430756	1556604413488	1556604414535
Q7	198	194	1556604463708	1556604417161	1556604417239
Q7	195	255	1556604463912	1556604422536	1556604422943
Q7	255	255	1556604481038	1556604423052	1556604423193
